passenger_id,household_income,college_saving,retirement_contribution_strategy,assets_retirement_pct_invested,assets_retirement,client_employment_status,housing_situation,saving_emergency_fund_months,assets_liquid,housing_transaction_timing,mortgage_type,life_insurance,mortgage_term,mortgage_rate,estate_plan,rent_monthly,client_age,sentiment_finances,divorce,education,employer_sponsored,has_children,has_dependent_relatives,has_partner,healthcare,lower_monthly_payment,managing_credit_score,moving,new_child
31412,255750.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$20,000-$50,000",,,"Yes, my own",,,Yes,,35.03,83.7,0,1,1,1,0,1,0,,,0,1
19596,258100.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$50,000-$100,000",,,"Yes, through my work",,,No,,69.44,25.2,0,0,1,1,0,1,0,,,0,0
155358,141100.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)","I save a bit, as I can",,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"$20,000-$50,000",,,"Yes, my own",,,No,,49.35,100.8,0,1,1,1,0,1,0,,,0,0
156461,324000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, my own",,,No,,38.85,55.8,0,0,1,1,0,1,0,0,,,1
137701,114800.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)","I save a bit, as I can",,"$100,000-$250,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,I don't have any savings,,,"Yes, my own",,,Yes,,38.7,0.0,0,0,0,1,0,1,0,,,0,0
133314,24954.54,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"$10,000-$20,000",,,"Yes, through my work",,,No,,29.7,102.6,0,0,1,1,0,1,0,,,0,0
161176,920000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,Yes,,41.85,120.0,0,1,1,1,0,1,0,,,0,0
64257,173250.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$100,000-$250,000",Employed (full or part time),Rent,More than 6 months,"$50,000-$100,000",,,"Yes, my own",,,Yes,,37.1,70.2,0,0,1,1,0,1,0,,,0,0
51785,258.68,"Yes, in an Education Savings Account (ESA such as a 529 plan)",Not currently contributing,,I haven't saved for retirement,Employed (full or part time),Live rent-free,I don't have any savings,I don't have any savings,,,No / Not sure,,,Not sure,,36.05,99.6,0,0,0,1,0,0,0,,,0,0
98535,362700.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"Less than $5,000",,,"Yes, my own",,,Yes,,42.57,51.0,0,0,1,1,0,1,0,,,0,0
73478,107350.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$10,000-$20,000",,,"Yes, my own",,,Yes,,38.0,29.1,0,0,1,1,0,1,0,0,,,0
40427,212500.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,38.72,96.3,0,1,1,1,0,1,0,,,1,0
150287,249400.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$20,000-$50,000",,,"Yes, my own",,,Yes,,36.8,102.0,0,1,1,1,0,1,0,,,0,0
93392,132250.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$10,000-$20,000",,,"Yes, through my work",,,Yes,,31.08,92.7,0,1,1,1,0,1,0,,,0,0
85870,48600.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,2-3 months,"$10,000-$20,000",,,"Yes, through my work",,,Yes,,51.6,56.4,0,0,1,1,0,0,1,,,0,0
62753,103000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$100,000-$250,000",Employed (full or part time),Rent,2-3 months,"$20,000-$50,000",Within the next 6 months,,"Yes, through my work",,,Not sure,1000,63.28,92.7,0,0,1,1,0,1,0,,0,,0
98523,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Not working / Other,,,,,,,,,,,36.49,60.0,,0,,1,0,0,,,,,
120601,193800.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$50,000-$100,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"$10,000-$20,000",,,No / Not sure,,,No,,31.15,93.6,0,1,0,1,0,0,0,,,0,0
146368,126000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,Yes,,41.6,56.4,0,1,1,1,0,1,0,,,0,0
121128,138600.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$250,000-$500,000",Employed (full or part time),Own my home with a mortgage,4-6 months,"More than $100,000",,,"Yes, my own",,,No,,32.8,57.0,0,1,1,1,0,1,0,,,0,0
69258,42300.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"$50,000-$100,000",Employed (full or part time),Rent,I don't have any savings,I don't have any savings,,,"Yes, through my work",,,No,,44.28,60.6,0,0,1,1,0,0,0,,,0,0
56181,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, my own",,,Yes,,38.48,48.0,,0,,1,0,1,,,,0,
40791,108000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"$20,000-$50,000",Employed (full or part time),Rent,2-3 months,"$50,000-$100,000",Within the next 6 months,,"Yes, my own",,,No,3500,30.8,114.0,0,0,0,1,0,1,1,,0,,0
61089,302950.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out and save some extra outside my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, my own",,,No,,40.05,51.6,0,1,1,1,0,1,0,0,,,0
14782,2.06,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Other,,,,,No / Not sure,,,No,,28.0,52.2,0,0,,1,0,0,,,,0,0
70683,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,"Yes, my own",,,Not sure,,66.0,24.0,0,1,,1,0,1,,,,1,0
75078,89128.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I save enough to get my employer match,,"Less than $10,000",Employed (full or part time),Rent,4-6 months,I don't have any savings,,,"Yes, through my work",,,No,,45.78,0.0,0,1,1,1,1,1,0,,,1,1
9375,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home outright,,,,,"Yes, my own",,,Not sure,,65.27,64.2,,0,,1,0,1,,,,,
21330,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Rent,,,As soon as I can,,"Yes, through my work",,,Yes,3500,30.45,57.0,1,0,,1,0,0,,,1,,0
15752,184000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"$10,000-$20,000",,,"Yes, my own",,,Yes,,61.02,68.4,0,1,1,1,0,1,0,0,,,0
5488,348000.0,"Yes, in an Education Savings Account (ESA such as a 529 plan)",I max out my Employer Plan / IRA,,"More than $500,000",Employed (full or part time),Own my home with a mortgage,More than 6 months,"More than $100,000",,,"Yes, through my work",,,No,,47.0,102.0,0,1,1,1,0,1,0,,,0,0
122446,,"Yes, in an Education Savings Account (ESA such as a 529 plan)",,,,Employed (full or part time),Own my home with a mortgage,,,,,No / Not sure,,,Yes,,42.32,56.4,0,1,,1,0,1,,,,0,0
