atlas_unique_passenger_id,Target,marketing_type,hasRecommendation,hasStartedContactForm,hasSubmittedFullContactInfo,parent_journey_name
20256,New Customers,Paid Digital,0,0,0,Financial Health Checkup
25313,New Customers,Paid Digital,0,0,0,Financial Health Checkup
168819,New Customers,Paid Digital,0,0,0,Financial Health Checkup
19905,New Customers,Paid Digital,0,0,0,Financial Health Checkup
197332,New Customers,Paid Digital,0,0,0,Financial Health Checkup
193793,New Customers,Paid Digital,0,0,0,Financial Health Checkup
12384,New Customers,Paid Digital,0,0,0,Financial Health Checkup
72301,New Customers,Paid Digital,0,0,0,Financial Health Checkup
32234,New Customers,Paid Digital,0,0,0,Financial Health Checkup
27261,New Customers,Paid Digital,0,0,0,Financial Health Checkup
201706,New Customers,Paid Digital,0,0,0,Financial Health Checkup
5558,New Customers,Paid Digital,0,0,0,Financial Health Checkup
12094,New Customers,Paid Digital,0,0,0,Financial Health Checkup
81262,New Customers,Paid Digital,0,0,0,Financial Health Checkup
161795,New Customers,Paid Digital,0,0,0,Financial Health Checkup
43989,New Customers,Paid Digital,0,0,0,Financial Health Checkup
34089,Existing Users,Not Paid Digital,0,0,0,Financial Health Checkup
5958,New Customers,Paid Digital,0,0,0,Financial Health Checkup
96170,New Customers,Paid Digital,0,0,0,Financial Health Checkup
103496,New Customers,Paid Digital,0,0,0,Financial Health Checkup
195825,New Customers,Paid Digital,0,0,0,Financial Health Checkup
146629,New Customers,Paid Digital,0,0,0,Financial Health Checkup
15909,New Customers,Paid Digital,0,0,0,Financial Health Checkup
22353,New Customers,Paid Digital,0,0,0,Financial Health Checkup
27761,New Customers,Paid Digital,0,0,0,Financial Health Checkup
146553,New Customers,Paid Digital,0,0,0,Financial Health Checkup
52437,New Customers,Paid Digital,0,0,0,Financial Health Checkup
98596,New Customers,Paid Digital,0,0,0,Financial Health Checkup
29033,New Customers,Paid Digital,0,0,0,Financial Health Checkup
112299,New Customers,Paid Digital,0,0,0,Financial Health Checkup
5155,New Customers,Paid Digital,0,0,0,Financial Health Checkup
21206,New Customers,Paid Digital,0,0,0,Financial Health Checkup
102642,Existing Users,Not Paid Digital,0,0,0,Financial Health Checkup
71293,New Customers,Paid Digital,0,0,0,Financial Health Checkup
188391,New Customers,Paid Digital,0,0,0,Financial Health Checkup
27031,New Customers,Paid Digital,0,0,0,Financial Health Checkup
169433,New Customers,Paid Digital,0,0,0,Financial Health Checkup
66030,New Customers,Paid Digital,0,0,0,Financial Health Checkup
146965,New Customers,Paid Digital,0,0,0,Financial Health Checkup
24636,New Customers,Paid Digital,0,0,0,Financial Health Checkup
182878,New Customers,Paid Digital,0,0,0,Financial Health Checkup
79169,New Customers,Paid Digital,0,0,0,Financial Health Checkup
167533,New Customers,Paid Digital,0,0,0,Financial Health Checkup
92574,New Customers,Paid Digital,0,0,0,Financial Health Checkup
19849,New Customers,Paid Digital,0,0,0,Financial Health Checkup
173829,New Customers,Paid Digital,0,0,0,Financial Health Checkup
198817,New Customers,Paid Digital,0,0,0,Financial Health Checkup
70600,New Customers,Paid Digital,0,0,0,Financial Health Checkup
31798,New Customers,Paid Digital,0,0,0,Financial Health Checkup
174481,New Customers,Paid Digital,0,0,0,Financial Health Checkup
167445,New Customers,Paid Digital,0,0,0,Financial Health Checkup
82646,New Customers,Paid Digital,0,0,0,Financial Health Checkup
96439,New Customers,Paid Digital,0,0,0,Financial Health Checkup
91324,New Customers,Paid Digital,0,0,0,Financial Health Checkup
192476,Existing Users,Not Paid Digital,0,0,0,Financial Health Checkup
139549,New Customers,Paid Digital,0,0,0,Financial Health Checkup
173036,New Customers,Paid Digital,0,0,0,Financial Health Checkup
166705,New Customers,Paid Digital,0,0,0,Financial Health Checkup
60519,New Customers,Paid Digital,0,0,0,Financial Health Checkup
17527,New Customers,Paid Digital,0,0,0,Financial Health Checkup
133563,New Customers,Paid Digital,0,0,0,Financial Health Checkup
108764,New Customers,Paid Digital,0,0,0,Financial Health Checkup
11004,New Customers,Paid Digital,0,0,0,Financial Health Checkup
196864,New Customers,Paid Digital,0,0,0,Financial Health Checkup
69515,New Customers,Paid Digital,0,0,0,Financial Health Checkup
107292,New Customers,Paid Digital,0,0,0,Financial Health Checkup
78148,New Customers,Paid Digital,0,0,0,Financial Health Checkup
153928,New Customers,Paid Digital,0,0,0,Financial Health Checkup
88086,New Customers,Paid Digital,0,0,0,Financial Health Checkup
168491,New Customers,Paid Digital,0,0,0,Financial Health Checkup
37969,New Customers,Paid Digital,0,0,0,Financial Health Checkup
76595,New Customers,Paid Digital,0,0,0,Financial Health Checkup
80231,New Customers,Paid Digital,0,0,0,Financial Health Checkup
8784,New Customers,Paid Digital,0,0,0,Financial Health Checkup
66573,New Customers,Paid Digital,0,0,0,Financial Health Checkup
87918,New Customers,Paid Digital,0,0,0,Financial Health Checkup
18043,New Customers,Paid Digital,0,0,0,Financial Health Checkup
155764,Existing Users,Not Paid Digital,0,0,0,Financial Health Checkup
90612,New Customers,Paid Digital,0,0,0,Financial Health Checkup
90176,New Customers,Paid Digital,0,0,0,Financial Health Checkup
160097,New Customers,Paid Digital,0,0,0,Financial Health Checkup
29824,New Customers,Paid Digital,0,0,0,Financial Health Checkup
27267,New Customers,Paid Digital,0,0,0,Financial Health Checkup
65664,New Customers,Paid Digital,0,0,0,Financial Health Checkup
94749,Existing Users,Paid Digital,0,0,0,Financial Health Checkup
29822,New Customers,Paid Digital,0,0,0,Financial Health Checkup
139246,New Customers,Paid Digital,0,0,0,Financial Health Checkup
41423,New Customers,Paid Digital,0,0,0,Financial Health Checkup
34597,Existing Users,Not Paid Digital,0,0,0,Financial Health Checkup
77770,New Customers,Paid Digital,0,0,0,Financial Health Checkup
195659,New Customers,Paid Digital,0,0,0,Financial Health Checkup
12234,New Customers,Paid Digital,0,0,0,Financial Health Checkup
117578,New Customers,Paid Digital,0,0,0,Financial Health Checkup
48309,New Customers,Paid Digital,0,0,0,Financial Health Checkup
